章节,唐三藏,孙悟空,猪八戒,沙僧,白龙马,如来佛祖,弥勒佛,燃灯古佛,观音菩萨,陈光蕊,殷温娇,唐太宗,魏征,叔宝,敬德,法明和尚,刘洪,李彪,文殊菩萨,普贤菩萨,地藏王菩萨,谛听,菩提祖师,阿难,伽叶,灵吉菩萨,毗蓝婆菩萨,孔雀明王,玉皇大帝,王母娘娘,天皇大帝,紫微大帝,长生大帝,青华大帝,东华帝君,真武大帝,元始天尊,灵宝天尊,太上老君,千里眼,顺风耳,雷公,电母,风伯,雨师,赤脚大罗仙,推云童子,布雾郎君,太白金星,木德星君,嫦娥,李靖,金吒,木吒,哪吒,巨灵神,东方持国天王,南方增长天王,西方广目天王,北方多闻天王,杨戬,哮天犬,敖广,敖钦,敖闰,敖顺,秦广王,泾河龙王,崔玨,阎罗王,混世魔王,寅将军,熊山军,特处士,黑风怪,白衣秀士,凌虚子,黄风怪,镇元大仙,清风,明月,白骨精,黄袍怪,金角大王,银角大王,狮猁怪,红孩儿,鼍龙,虎力大仙,鹿力大仙,羊力大仙,灵感大王,独角兕大王,如意真仙,女儿国国王,蝎子精,六耳猕猴,牛魔王,铁扇公主,万圣龙王,万圣公主,树精,黄眉大王,蟒蛇精,赛太岁,蜘蛛精,百眼魔君,黄牙老象,大鹏金翅鸟,白鹿精,白面狐狸精,地涌夫人,灭法国国王,南山大王,九灵元圣,辟寒大王,辟暑大王,辟尘大王,玉兔精,大白龟
第一回,4,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第二回,27,155,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第三回,27,243,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,71,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,4,3,0,0,1,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第四回,27,362,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,71,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,34,3,0,11,0,0,16,12,0,3,0,0,0,0,7,6,6,4,3,0,0,1,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第五回,27,448,0,0,5,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,2,0,71,0,0,0,0,0,48,16,0,0,0,0,0,0,0,0,7,2,2,1,0,0,0,1,0,0,34,3,0,15,0,0,20,12,0,3,0,0,0,0,7,6,6,4,3,0,0,1,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第六回,29,518,0,0,5,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,2,0,71,0,0,0,0,0,69,24,0,0,0,0,0,0,0,0,17,2,2,1,0,0,0,1,0,0,34,3,0,31,0,19,24,12,0,3,0,0,37,0,7,6,6,4,3,0,0,1,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第七回,29,557,0,0,5,31,0,1,42,0,0,0,0,0,0,0,0,0,0,0,2,0,71,0,0,0,0,0,83,29,0,0,0,0,0,0,1,1,28,2,2,1,0,0,0,1,0,0,34,3,0,32,0,19,26,12,0,3,0,0,45,0,7,6,6,4,3,0,0,1,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第八回,86,576,3,2,6,48,0,1,124,64,6,14,2,0,0,8,24,6,0,0,2,0,71,0,0,0,0,0,88,29,0,0,0,0,0,0,1,1,29,2,2,1,0,0,0,1,0,0,34,3,1,33,0,37,26,12,0,3,0,0,45,0,7,6,8,4,3,0,0,1,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第九回,86,576,3,2,6,48,0,1,124,64,6,29,14,1,1,8,25,6,0,0,2,0,71,0,0,0,0,0,91,29,0,0,0,0,0,0,1,1,29,2,2,2,1,1,0,1,1,0,34,3,1,33,0,37,26,12,0,3,0,0,45,0,7,6,8,4,3,4,0,1,21,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第十回,86,576,3,2,6,48,0,1,127,64,6,104,31,7,4,8,25,6,0,0,2,0,71,0,0,0,0,0,91,29,0,0,0,0,0,0,1,1,29,2,2,2,1,1,0,1,1,0,34,3,1,33,0,37,26,12,0,3,0,0,45,0,7,6,8,4,5,5,0,2,21,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
