章节,贾宝玉,林黛玉,薛宝钗,贾代化,贾代善,贾赦,贾政,贾敷,贾敬,贾珍,贾蓉,贾珠,贾兰,贾琏,贾雨村,冷子兴,封肃,林如海,贾元春,贾迎春,贾探春,贾惜春,王熙凤,贾母,王夫人,邢夫人,尤氏,李纨,秦可卿,王嬷嬷,李嬷嬷,雪雁,紫鹃,麝月,秋纹,晴雯,茜雪,坠儿,入画,司棋,四儿,春燕,鸳鸯,碧痕,芳宫,香菱,袭人,莺儿,金钏,彩云,彩霞,宝珠,林红玉,史湘云,妙玉,李守,英莲,刘姥姥,平儿,薛姨妈,赵姨娘,薛蝌,秦业,秦钟,李贵,贾瑞,贾菌,贾璜,夏金桂,金荣,茗烟,贾巧姐,玉菡,薛宝琴
第一回,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第二回,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第三回,3,1,0,1,1,2,2,1,1,1,1,1,0,3,67,27,13,14,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第四回,35,87,0,1,1,6,8,1,1,1,1,2,0,4,83,32,13,26,2,4,5,2,12,33,20,7,0,0,0,3,2,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第五回,35,90,2,1,1,7,13,1,1,3,1,3,1,5,110,32,13,26,2,5,5,2,12,36,31,7,0,2,0,3,2,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,2,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第六回,35,90,2,1,1,7,13,1,1,3,1,3,1,5,110,32,13,26,2,5,5,2,12,36,31,7,0,2,0,3,2,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,2,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第七回,96,101,8,1,1,7,13,1,1,4,3,3,1,5,110,32,13,26,2,6,6,3,12,42,32,8,1,2,12,3,2,2,4,1,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,1,0,0,0,0,0,2,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第八回,111,101,8,1,1,7,13,1,1,4,9,3,1,7,110,32,13,26,2,6,6,3,42,44,35,8,1,2,13,3,2,2,4,1,0,1,0,0,0,0,0,0,1,0,0,0,23,0,0,1,0,0,0,0,0,2,14,61,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第九回,140,110,18,1,1,7,13,1,1,7,20,3,1,9,111,34,13,26,2,8,8,9,78,47,49,8,15,6,24,3,2,2,4,1,0,1,1,0,1,1,0,0,1,0,0,6,23,1,7,1,0,0,0,0,0,2,14,64,17,9,0,0,0,11,0,0,0,0,0,0,0,0,0,0
第十回,224,141,40,1,1,7,13,1,1,7,21,3,1,9,111,34,13,26,2,8,8,9,82,62,52,8,16,6,26,3,14,5,5,1,0,7,6,0,1,1,0,0,1,0,0,6,29,5,7,1,0,0,0,0,0,2,14,64,17,27,0,0,2,19,0,0,0,0,0,0,0,0,0,0
第十一回,259,146,40,1,1,7,21,1,1,10,24,3,4,9,111,34,13,26,2,8,8,9,82,69,55,8,16,6,26,3,14,5,5,2,0,8,6,0,1,1,0,0,1,0,0,6,34,5,7,1,0,0,0,0,0,2,14,64,17,27,0,0,3,44,15,15,8,0,0,30,15,0,0,0
第十二回,264,146,40,1,1,7,21,1,1,26,40,3,4,9,111,34,13,26,2,8,8,9,84,69,55,8,32,6,33,3,14,5,5,2,0,8,6,0,1,1,0,0,1,0,0,6,34,5,7,1,0,0,0,0,0,2,14,64,17,27,0,0,3,49,15,16,8,2,0,35,15,0,0,0
第十三回,274,146,40,1,1,7,21,1,3,35,53,3,4,10,111,34,13,26,2,8,8,9,148,75,75,20,62,6,51,3,14,5,5,2,0,8,6,0,1,1,0,0,1,0,0,6,34,5,7,1,0,0,0,0,0,2,14,64,22,27,0,0,3,49,16,26,8,2,0,35,15,0,0,0
第十四回,275,151,40,1,1,8,22,1,3,36,58,3,4,12,111,34,13,28,2,8,8,9,185,79,78,20,62,6,51,3,14,5,5,2,0,8,6,0,1,1,0,0,1,0,0,6,34,5,7,1,0,0,0,0,0,2,14,64,23,27,0,0,3,49,16,73,8,2,0,35,15,0,0,0
第十五回,286,154,40,2,1,9,25,1,4,78,62,3,5,13,111,34,13,28,2,8,8,9,213,83,92,27,67,6,64,3,14,5,5,2,0,8,6,0,1,1,0,0,1,0,0,6,36,5,7,1,0,3,0,0,0,2,14,64,26,27,0,0,4,50,16,73,9,2,0,35,15,0,0,0
第十六回,303,156,40,2,1,11,28,1,4,86,62,3,5,14,111,34,13,30,2,9,8,9,265,83,93,27,70,6,65,3,14,5,5,2,0,8,6,0,1,1,0,0,1,0,0,6,36,5,7,1,0,4,0,0,0,2,14,64,28,27,0,0,4,54,16,73,9,2,0,35,15,0,0,0
第十七回,360,156,40,2,1,15,36,1,4,94,64,3,5,15,111,34,13,30,2,9,8,9,305,86,97,28,70,6,66,3,14,5,5,2,0,8,6,0,1,1,0,0,1,0,0,6,36,5,7,1,0,6,0,0,0,2,14,64,28,27,0,0,5,83,16,73,9,2,0,35,15,0,0,0
第十八回,385,164,41,2,1,23,42,1,4,98,70,3,5,45,113,34,13,32,6,11,8,9,340,96,101,30,72,7,66,3,14,5,5,2,0,8,6,0,1,1,0,0,1,0,0,13,36,5,7,1,0,6,0,0,0,2,14,64,37,28,0,0,6,102,18,73,9,2,0,35,19,0,0,0
第十九回,432,164,41,2,1,23,123,1,4,115,70,3,5,48,116,34,13,32,6,11,8,9,340,99,101,30,72,7,66,3,14,5,5,2,0,8,6,0,1,1,0,0,1,0,0,13,36,5,7,1,0,6,0,0,0,2,14,64,37,28,0,0,6,104,19,73,9,2,1,35,19,0,0,0
第二十回,459,178,44,2,1,29,137,1,4,115,70,3,5,48,116,34,13,32,13,12,8,9,348,121,111,33,74,9,66,3,14,5,5,2,0,8,6,0,1,1,0,0,1,0,0,13,37,5,7,1,0,6,0,0,3,2,14,64,37,31,0,0,6,104,19,73,9,2,1,35,19,0,0,0
