章节,刘备,关羽,张飞,赵云,诸葛亮,庞统,徐庶,黄忠,法正,魏延,姜维,邓艾,曹操,典韦,许褚,郭嘉,贾诩,程昱,张辽,孙坚,孙策,周瑜,黄盖,孙权,吕布,貂蝉,王允,董卓,李肃,华雄,袁绍,田丰,许攸,沮授,颜良,文丑,马腾,马超,马岱,韩遂,张郃,张鲁,张松,张苞,张嶷,刘焉,刘虞,刘表,刘晔,刘璋,刘禅,刘琦,刘封,曹嵩,曹仁,曹洪,曹昂,曹丕,曹植,曹休,曹真,李傕,郭汜,李儒,李典,杨修,杨仪,陈宫,陈登,韩当,韩馥,韩德,夏侯惇,夏侯渊,吕蒙,诸葛瑾,朱儁,司马懿,蒋琬,蒋钦,蒋干,丁原,黄琬,袁术,何进,荀攸,荀彧,程普,公孙瓒,庞德,徐晃,蔡邕,蔡瑁,陆康,崔琰,文鸯,樊稠,辛评,陶谦,于禁,孔融,皇甫嵩,向宠,乐进,鲁肃,廖化,卢植,太史慈,甘宁,糜竺,麹义,满宠,孟获
第一回,50,11,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0
第二回,97,15,22,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,19,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0
第三回,97,15,22,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,12,0,3,23,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,9,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,18,0,3,32,1,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,12,0,0,0,0,16,0,0,0,0,0,0
第四回,97,15,22,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,4,0,0,0,0,17,0,7,44,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,17,0,1,0,6,0,0,0,0,0,0,0,0,19,0,0,0,0,18,0,3,33,1,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,12,0,0,0,0,16,0,0,0,0,0,0
第五回,126,27,29,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,16,0,0,2,0,53,0,7,58,8,27,34,0,0,0,1,1,1,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,4,3,3,0,0,0,0,0,2,3,20,1,1,0,8,0,2,2,0,2,1,0,0,19,0,0,0,0,18,0,11,33,1,0,4,12,0,0,3,0,0,0,0,2,0,2,0,2,12,0,1,0,0,16,0,0,0,0,0,0
第六回,130,27,30,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,30,0,0,5,0,60,0,7,71,8,27,45,0,0,0,2,2,1,0,0,0,0,0,0,0,0,9,3,7,0,0,0,0,0,4,6,5,0,0,0,0,0,6,5,24,3,1,0,8,0,3,2,0,7,4,0,0,19,0,0,0,0,18,2,14,33,1,0,7,13,0,0,3,4,0,0,0,2,0,2,0,2,12,0,3,0,0,16,0,0,0,0,0,0
第七回,140,29,32,9,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,44,5,0,13,1,60,0,7,74,8,27,66,3,1,1,6,16,1,0,0,0,0,0,0,0,0,9,3,26,0,0,0,0,0,4,6,5,0,0,0,0,0,6,5,25,3,1,0,8,0,10,9,0,7,4,0,0,19,0,0,0,0,18,2,17,33,1,0,15,33,0,0,3,11,0,0,0,2,1,2,0,2,12,0,3,0,0,16,0,0,0,0,0,0
第八回,140,29,32,9,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,47,6,0,13,1,83,45,10,84,8,27,66,3,1,1,6,16,1,0,0,0,0,0,0,0,0,9,3,26,0,0,0,0,0,4,6,5,0,0,0,0,0,6,5,26,3,1,0,8,0,10,9,0,7,4,0,0,19,0,0,0,0,18,2,18,33,1,0,15,33,0,0,3,11,0,0,0,2,1,2,0,2,12,0,3,0,0,16,0,0,0,0,0,0
第九回,140,29,32,9,0,0,0,0,0,0,0,0,60,0,0,0,2,0,0,47,6,0,14,1,120,56,34,109,19,27,66,3,1,1,6,16,1,0,0,0,0,0,0,0,0,9,3,26,0,0,0,0,0,4,6,5,0,0,0,0,0,21,16,35,3,1,0,8,0,10,9,0,7,4,0,0,19,0,0,0,0,20,3,19,33,1,0,15,33,0,0,7,11,0,0,0,7,1,2,0,2,14,0,3,0,0,16,0,0,0,0,0,0
第十回,140,29,32,9,0,0,0,0,0,0,0,0,79,2,0,3,6,2,0,47,6,0,14,1,120,56,35,110,19,27,68,3,1,1,6,16,12,10,0,14,0,0,0,0,0,9,3,26,1,0,0,0,0,11,6,5,0,0,0,0,0,40,27,35,3,1,0,10,0,10,9,0,12,4,0,0,22,0,0,0,0,20,3,19,33,3,4,15,33,0,0,7,11,0,0,0,23,1,20,2,2,14,0,3,0,0,16,0,0,0,0,2,0
第十一回,199,36,39,15,0,0,0,0,0,0,0,0,107,5,0,6,6,4,3,47,6,0,14,1,145,56,35,111,19,27,70,3,1,1,6,16,12,10,0,14,0,0,0,0,0,9,3,26,1,0,0,0,0,12,9,7,0,0,0,0,0,41,28,35,4,1,0,16,4,10,9,0,14,4,0,0,22,0,0,0,0,20,3,22,33,3,6,15,35,0,0,7,11,0,0,0,23,1,37,8,31,14,0,6,0,0,16,10,0,11,0,2,0
第十二回,220,36,39,15,0,0,0,0,0,0,0,0,127,29,6,7,6,5,5,48,6,0,14,1,173,56,35,111,19,27,70,3,1,1,6,16,12,10,0,14,0,0,0,0,0,9,3,26,4,0,0,0,0,12,11,10,0,0,0,0,0,41,28,35,14,1,0,24,6,10,9,0,21,9,0,0,22,0,0,0,0,20,3,23,33,3,7,15,35,0,0,7,11,0,0,0,23,1,44,9,31,14,0,13,0,0,16,10,0,14,0,2,0
第十三回,243,38,43,15,0,0,0,0,0,0,0,0,134,29,6,7,12,5,5,48,6,0,14,1,189,56,36,112,19,27,72,3,1,1,7,16,12,10,0,14,0,0,0,0,0,9,3,26,4,0,0,0,0,12,11,10,0,0,1,0,0,73,58,35,14,1,0,27,6,10,9,0,21,9,0,0,25,0,0,0,0,20,3,23,34,3,7,15,35,0,4,7,11,0,0,0,23,1,45,9,31,14,0,13,0,0,16,10,0,15,0,2,0
第十四回,290,46,64,15,0,0,0,0,0,0,0,0,161,32,13,8,14,6,5,48,6,0,14,1,217,56,36,112,19,27,73,3,1,1,7,16,12,10,0,14,0,0,0,0,0,9,3,26,5,0,0,0,0,12,14,13,0,0,1,0,0,81,63,35,16,1,0,29,10,10,9,0,29,10,0,0,25,0,0,0,0,20,3,29,34,4,12,15,35,0,16,7,11,0,0,0,23,1,45,10,31,14,0,15,0,0,16,10,0,17,0,8,0
第十五回,312,46,67,15,0,0,0,0,0,0,0,0,162,32,13,8,14,6,5,51,72,9,19,4,230,56,36,113,19,27,74,3,1,1,7,16,12,10,0,14,0,0,0,0,0,9,3,27,5,0,0,0,0,12,14,13,0,0,1,0,0,81,63,35,16,1,0,30,10,15,9,0,29,10,0,0,25,0,0,3,0,20,3,44,34,4,12,26,35,0,16,7,11,2,0,0,23,1,46,10,31,15,0,15,0,0,16,44,0,17,0,8,0
第十六回,381,49,78,15,0,0,0,0,0,0,0,0,172,40,14,11,19,7,7,51,73,9,19,4,276,58,36,113,19,27,75,3,1,3,7,16,12,10,0,14,0,1,0,0,0,9,3,30,5,1,0,0,0,12,14,13,2,0,1,0,0,82,63,35,17,1,0,36,13,15,9,0,33,10,0,0,25,0,0,3,0,20,3,65,34,4,15,26,35,0,17,7,11,2,0,0,23,1,46,18,31,15,0,16,0,0,16,44,0,19,0,8,0
第十七回,392,54,78,15,0,0,0,0,0,0,0,0,182,41,16,12,20,7,8,51,81,9,19,4,300,58,36,113,19,27,75,3,1,3,7,16,12,10,0,14,0,1,0,0,0,9,3,33,5,1,0,0,0,12,15,14,2,0,1,0,0,84,64,35,17,1,0,39,19,15,9,0,36,10,1,0,25,0,0,3,0,20,3,84,34,4,17,26,35,0,17,7,11,2,0,0,23,1,46,19,31,15,0,16,0,0,16,44,0,19,0,8,0
第十八回,412,61,81,15,0,0,0,0,0,0,0,0,197,44,16,16,27,7,13,51,83,9,19,4,313,58,36,113,19,27,79,3,1,3,7,16,12,10,0,14,0,1,0,0,0,9,3,45,5,1,0,0,0,12,15,14,3,0,1,0,0,84,64,35,19,1,0,42,19,15,9,0,41,12,1,0,25,0,0,3,0,20,3,85,34,5,23,26,39,0,18,7,11,2,0,0,23,1,46,20,31,15,0,16,0,0,16,44,0,22,0,8,0
第十九回,459,66,88,15,0,0,0,0,0,0,0,0,218,44,19,17,27,8,27,51,83,9,19,4,363,61,36,116,19,27,80,3,1,3,7,16,12,10,0,14,0,1,0,0,0,9,3,45,5,1,0,0,0,12,17,14,3,0,1,0,0,84,64,35,19,1,0,63,28,15,9,0,42,14,1,0,25,0,0,3,0,22,3,91,34,6,24,26,39,0,22,7,11,2,0,0,23,1,46,20,31,15,0,16,0,0,16,44,0,28,0,8,0
第二十回,485,73,88,15,0,0,0,0,0,0,0,0,229,44,19,17,27,9,31,51,83,9,19,4,365,61,36,117,19,27,80,3,1,3,7,16,15,10,0,14,0,1,0,0,0,9,3,45,5,1,0,0,0,12,17,14,3,0,1,0,0,84,64,35,19,1,0,63,28,15,9,0,42,14,1,0,25,0,0,3,0,22,3,93,34,6,25,26,39,0,22,7,11,2,0,0,23,1,46,20,32,15,0,16,0,0,16,44,0,28,0,9,0
第二十一回,578,84,93,16,0,0,0,0,0,0,0,0,247,44,26,20,27,12,36,51,84,9,19,4,365,61,36,117,19,27,90,3,1,3,7,16,19,10,0,15,0,2,0,0,0,9,3,47,5,3,0,0,0,12,17,14,3,0,1,0,0,84,64,35,19,1,0,63,34,15,9,0,42,14,1,0,25,0,0,3,0,22,3,104,34,6,26,26,41,0,22,7,11,2,0,0,23,1,46,20,32,15,0,16,0,0,16,44,0,29,0,10,0
第二十二回,614,101,109,16,0,0,0,0,0,0,0,0,266,44,26,20,27,13,36,51,84,9,19,4,368,61,36,120,19,27,99,7,6,6,10,19,19,10,0,15,1,2,0,0,0,9,3,47,5,3,0,0,0,12,18,15,3,0,1,0,0,84,64,35,20,1,0,63,37,15,9,0,42,14,1,0,25,0,0,3,0,22,3,104,35,6,28,26,43,0,22,7,11,2,0,0,23,1,46,21,34,15,0,16,0,0,16,44,0,31,0,10,0
第二十三回,622,101,109,16,0,0,0,0,0,0,0,0,282,44,28,22,31,15,39,51,84,9,19,4,368,61,36,120,19,27,106,7,6,6,10,19,22,10,0,16,1,2,0,0,0,9,3,59,8,3,0,0,0,12,20,15,3,0,1,0,0,84,64,35,22,2,0,63,37,15,9,0,44,14,2,0,25,0,0,3,0,22,3,104,35,9,35,26,43,0,24,7,11,2,0,0,23,1,46,23,40,15,0,18,0,0,16,44,0,31,0,12,0
第二十四回,653,107,113,16,0,0,0,0,0,0,0,0,292,44,29,24,31,18,43,52,84,9,19,4,368,61,36,122,19,27,116,9,6,6,10,19,24,10,0,16,1,2,0,0,0,9,3,59,8,3,0,0,0,12,20,16,3,0,1,0,0,84,64,35,25,2,0,63,38,15,9,0,46,16,2,0,25,0,0,3,0,22,3,104,35,9,37,26,43,0,26,7,11,2,0,0,23,1,46,24,40,15,0,20,0,0,16,44,0,32,0,12,0
第二十五回,682,206,118,16,0,0,0,0,0,0,0,0,308,44,31,24,31,20,57,52,84,9,19,4,371,61,36,122,19,27,120,14,6,10,29,19,24,10,0,16,1,2,0,0,0,9,3,59,8,3,0,0,0,12,20,16,3,0,1,0,0,84,64,35,25,2,0,63,38,15,9,0,49,16,2,0,25,0,0,3,0,22,3,104,35,9,39,26,43,0,29,7,11,2,0,0,23,1,46,24,40,15,0,20,0,0,16,44,0,32,0,12,0
第二十六回,719,279,118,16,0,0,0,0,0,0,0,0,329,44,31,24,31,20,66,52,84,9,19,4,371,61,36,122,19,27,136,14,6,13,35,46,24,10,0,16,1,2,0,0,0,9,3,59,8,3,0,0,0,12,20,17,3,0,1,0,0,84,64,35,25,2,0,63,38,15,9,0,50,16,2,0,25,0,0,3,0,22,3,104,35,12,40,26,43,0,32,7,11,2,0,0,23,1,46,26,40,15,0,21,0,0,16,44,0,32,0,12,0
第二十七回,727,410,118,16,0,0,0,0,0,0,0,0,338,44,33,24,31,21,71,52,84,9,19,4,371,61,36,122,19,27,144,15,6,14,39,50,24,10,0,16,1,2,0,0,0,9,3,59,8,3,0,0,0,12,20,17,3,0,1,0,0,84,64,35,26,2,0,63,38,15,9,0,53,16,2,0,25,0,0,3,0,22,3,104,35,12,40,26,43,0,34,7,11,2,0,0,23,1,46,27,40,15,0,21,0,9,16,44,0,32,0,12,0
第二十八回,765,507,134,21,0,0,0,0,0,0,0,0,346,44,33,24,31,21,76,52,85,9,19,4,371,61,36,122,19,27,155,15,6,17,42,53,24,10,0,16,1,2,0,0,0,9,3,64,8,3,0,0,0,12,20,17,3,0,1,0,0,84,64,35,26,2,0,63,38,15,9,0,60,16,2,0,25,0,0,3,0,22,3,104,35,12,40,26,44,0,35,7,11,2,0,0,23,1,46,27,40,15,0,21,0,10,16,44,0,35,0,12,0
第二十九回,765,507,134,21,0,0,0,0,0,0,0,0,358,44,33,27,31,21,76,52,113,19,19,21,371,61,36,122,19,27,162,15,6,17,42,53,24,10,0,16,1,2,0,0,0,9,3,65,8,3,0,0,0,12,21,17,3,0,1,0,0,84,64,35,26,2,0,63,38,16,9,0,60,16,2,1,25,0,0,3,0,22,3,104,35,12,40,28,44,0,35,8,11,2,0,0,23,1,46,27,40,15,0,21,4,10,16,44,0,35,0,12,0
第三十回,765,507,134,21,0,0,0,0,0,0,0,0,400,44,38,27,32,21,85,52,113,19,19,21,371,61,36,122,19,27,197,20,24,23,42,53,24,10,0,16,5,2,0,0,0,9,3,65,10,3,0,0,0,12,23,20,3,0,1,0,0,84,64,35,28,2,0,63,38,16,9,0,65,17,2,1,25,0,0,3,0,22,3,104,35,16,44,28,44,0,47,8,11,2,0,0,23,1,46,29,40,15,0,21,4,10,16,44,0,35,0,12,0
第三十一回,820,517,141,30,0,0,0,0,0,0,0,0,414,44,45,27,32,23,87,52,113,19,19,23,373,61,36,122,19,27,221,28,24,25,42,53,24,10,0,16,7,2,0,0,0,9,3,75,10,3,0,0,0,12,24,23,3,0,1,0,0,84,64,35,31,2,0,63,38,16,9,0,71,21,2,1,25,0,0,3,0,22,3,104,35,16,46,28,44,0,50,8,14,2,0,0,23,3,46,32,40,15,0,25,4,10,16,44,0,35,0,13,0
第三十二回,822,517,141,30,0,0,0,0,0,0,0,0,427,44,47,28,33,24,93,52,113,19,19,23,373,61,36,122,19,27,226,28,27,26,42,53,24,10,0,16,7,2,0,0,0,9,3,78,10,3,0,0,0,12,24,26,3,2,1,0,0,84,64,35,32,2,0,63,38,16,9,0,71,21,2,1,25,0,0,3,0,22,3,104,35,17,46,28,44,0,58,8,14,2,0,0,23,7,46,32,40,15,0,26,4,10,16,44,0,35,0,14,0
第三十三回,827,517,141,30,0,0,0,0,0,0,0,0,444,44,50,44,33,25,98,52,113,19,19,23,373,61,36,122,19,27,231,28,31,26,42,53,24,10,0,16,7,2,0,0,0,9,3,83,10,3,0,0,0,12,24,29,3,4,1,0,0,84,64,35,35,2,0,63,38,16,9,0,73,21,2,1,25,0,0,3,0,22,3,104,35,19,46,28,44,0,60,8,14,2,1,0,23,8,46,33,40,15,0,30,4,10,16,44,0,35,0,14,0
第三十四回,918,520,144,42,0,0,0,0,0,0,0,0,453,44,50,45,33,25,98,52,113,19,19,26,373,61,36,122,19,27,232,28,31,26,42,53,24,10,0,16,7,4,0,0,0,9,3,96,10,3,1,2,0,12,24,29,3,5,3,0,0,84,64,35,35,2,0,63,38,16,9,0,73,21,2,1,25,0,0,3,0,22,3,104,35,20,47,28,44,0,60,8,29,2,1,0,23,8,46,33,40,15,0,30,4,10,16,44,0,35,0,14,0
第三十五回,997,524,149,53,0,11,7,0,0,0,0,0,454,44,50,45,33,25,98,52,113,19,19,26,373,61,36,122,19,27,232,28,31,26,42,53,24,10,0,16,7,4,0,0,0,9,3,102,10,3,1,4,0,12,30,29,3,5,3,0,0,84,64,35,37,2,0,63,38,16,9,0,73,21,2,1,25,0,0,3,0,22,3,104,35,20,47,28,44,3,60,8,37,2,1,0,23,8,46,33,40,15,0,30,4,10,16,44,0,37,0,14,0
第三十六回,1061,530,151,58,13,16,57,0,0,0,0,0,462,44,50,45,33,30,98,52,113,19,19,26,373,61,36,122,19,27,232,28,31,26,42,53,24,10,0,16,7,4,0,0,0,9,3,104,10,3,1,4,1,12,50,29,3,5,3,0,0,84,64,35,49,2,0,63,38,16,9,0,73,21,2,1,25,0,0,3,0,22,3,104,35,20,47,28,44,3,60,8,37,2,1,0,23,8,46,33,40,15,0,30,4,10,16,44,0,37,0,14,0
第三十七回,1140,533,157,58,61,16,71,0,0,0,0,0,469,44,50,45,33,31,98,52,113,19,19,28,373,61,36,122,19,27,232,28,31,26,42,53,24,10,0,16,7,4,0,0,0,9,3,104,10,3,1,4,1,12,50,29,3,5,3,0,0,84,64,35,49,2,0,63,38,16,9,0,73,21,2,2,25,0,0,3,0,22,3,104,35,20,49,28,44,3,60,8,37,2,1,0,23,8,46,33,40,15,0,30,4,10,16,44,0,37,0,14,0
